# Elastic line measurement
# Soleil March/2017
# Energy = 849.87 eV
# pixel 	 data 	 fit
2.022500e+02 -1.511149e+02 4.834266e+02
2.027500e+02 -2.093079e+02 4.834266e+02
2.032500e+02 -3.015010e+02 4.834266e+02
2.037500e+02 -8.469399e+01 4.834266e+02
2.042500e+02 -1.228870e+02 4.834266e+02
2.047500e+02 7.691993e+01 4.834266e+02
2.052500e+02 -2.872731e+02 4.834266e+02
2.057500e+02 -1.184661e+02 4.834266e+02
2.062500e+02 -1.516592e+02 4.834266e+02
2.067500e+02 -8.585222e+01 4.834266e+02
2.072500e+02 -1.204526e+01 4.834266e+02
2.077500e+02 -2.692383e+02 4.834266e+02
2.082500e+02 -2.494313e+02 4.834266e+02
2.087500e+02 7.237563e+01 4.834266e+02
2.092500e+02 -3.581741e+01 4.834266e+02
2.097500e+02 -7.010445e+00 4.834266e+02
2.102500e+02 -1.582035e+02 4.834266e+02
2.107500e+02 -2.239652e+01 4.834266e+02
2.112500e+02 4.410443e+00 4.834266e+02
2.117500e+02 2.021740e+01 4.834266e+02
2.122500e+02 -1.949756e+02 4.834266e+02
2.127500e+02 2.831330e+00 4.834266e+02
2.132500e+02 5.563829e+01 4.834266e+02
2.137500e+02 -8.554745e+00 4.834266e+02
2.142500e+02 2.325222e+01 4.834266e+02
2.147500e+02 -1.139408e+02 4.834266e+02
2.152500e+02 -6.813386e+01 4.834266e+02
2.157500e+02 1.386731e+02 4.834266e+02
2.162500e+02 2.448007e+01 4.834266e+02
2.167500e+02 -1.267130e+02 4.834266e+02
2.172500e+02 -1.690601e+01 4.834266e+02
2.177500e+02 -1.340990e+02 4.834266e+02
2.182500e+02 1.907079e+02 4.834266e+02
2.187500e+02 -7.485121e+00 4.834266e+02
2.192500e+02 -1.396782e+02 4.834266e+02
2.197500e+02 -1.148712e+02 4.834266e+02
2.202500e+02 -2.450642e+02 4.834266e+02
2.207500e+02 -1.322573e+02 4.834266e+02
2.212500e+02 4.754969e+01 4.834266e+02
2.217500e+02 -3.364335e+01 4.834266e+02
2.222500e+02 -7.583638e+01 4.834266e+02
2.227500e+02 -1.150294e+02 4.834266e+02
2.232500e+02 5.677754e+01 4.834266e+02
2.237500e+02 -5.941550e+01 4.834266e+02
2.242500e+02 -6.760853e+01 4.834266e+02
2.247500e+02 -1.358016e+02 4.834266e+02
